date,ta_max,ta_min,ta_avg,rn_day,hm_avg,ws_avg,gdd,heat_stress,frost_risk,dry_day
20220101,4.9,-11.6,,0.0,,,0.0,0.0,11.6,1
20220102,8.0,-10.4,,0.0,,,0.0,0.0,10.4,1
20220103,6.1,-10.5,,0.0,,,0.0,0.0,10.5,1
20220104,7.8,-6.0,,0.0,,,0.0,0.0,6.0,1
20220105,3.8,-8.3,,0.0,,,0.0,0.0,8.3,1
20220106,7.6,-6.7,,0.0,,,0.0,0.0,6.7,1
20220107,8.1,-10.6,,0.0,,,0.0,0.0,10.6,1
20220108,8.8,-10.5,,0.0,,,0.0,0.0,10.5,1
20220109,8.3,-6.0,,0.0,,,0.0,0.0,6.0,1
20220110,9.2,-7.5,,0.0,,,0.0,0.0,7.5,1
20220111,3.8,-6.5,,0.0,,,0.0,0.0,6.5,1
20220112,2.6,-10.1,,0.0,,,0.0,0.0,10.1,1
20220113,0.6,-9.5,,0.0,,,0.0,0.0,9.5,1
20220114,4.1,-11.9,,0.0,,,0.0,0.0,11.9,1
20220115,8.0,-8.4,,0.0,,,0.0,0.0,8.4,1
20220116,7.4,-5.3,,0.0,,,0.0,0.0,5.3,1
20220117,4.9,-5.5,,0.0,,,0.0,0.0,5.5,1
20220118,2.7,-9.9,,0.0,,,0.0,0.0,9.9,1
20220119,6.2,-12.1,,0.0,,,0.0,0.0,12.1,1
20220120,4.6,-9.0,,0.0,,,0.0,0.0,9.0,1
20220121,7.0,-12.0,,0.0,,,0.0,0.0,12.0,1
20220122,10.3,-8.9,,0.0,,,0.0,0.0,8.9,1
20220123,13.1,-0.5,,0.0,,,1.2999999999999998,0.0,0.5,1
20220124,7.5,-0.9,,0.0,,,0.0,0.0,0.9,1
20220125,7.1,0.2,,0.0,,,0.0,0.0,0.0,1
20220126,7.9,-3.6,,0.0,,,0.0,0.0,3.6,1
20220127,9.3,-5.1,,0.0,,,0.0,0.0,5.1,1
20220128,6.9,-5.0,,0.0,,,0.0,0.0,5.0,1
20220129,5.6,-4.1,,0.0,,,0.0,0.0,4.1,1
20220130,6.6,-6.2,,0.0,,,0.0,0.0,6.2,1
20220131,7.8,-10.0,,0.0,,,0.0,0.0,10.0,1
20220201,4.6,-6.7,,0.0,,,0.0,0.0,6.7,1
20220202,6.3,-8.6,,0.0,,,0.0,0.0,8.6,1
20220203,5.6,-6.9,,0.0,,,0.0,0.0,6.9,1
20220204,4.6,-8.4,,0.0,,,0.0,0.0,8.4,1
20220205,1.5,-6.3,,0.0,,,0.0,0.0,6.3,1
20220206,4.5,-8.8,,0.0,,,0.0,0.0,8.8,1
20220207,3.7,-8.2,,0.0,,,0.0,0.0,8.2,1
20220208,7.4,-8.0,,0.0,,,0.0,0.0,8.0,1
20220209,9.7,-9.2,,0.0,,,0.0,0.0,9.2,1
20220210,11.1,-3.7,,0.0,,,0.0,0.0,3.7,1
20220211,11.3,-8.1,,0.0,,,0.0,0.0,8.1,1
20220212,12.9,-5.6,,0.0,,,0.0,0.0,5.6,1
20220213,12.3,-2.6,,0.0,,,0.0,0.0,2.6,1
20220214,12.3,-2.1,,0.0,,,0.10000000000000053,0.0,2.1,1
20220215,5.9,-6.7,,0.0,,,0.0,0.0,6.7,1
20220216,0.3,-7.7,,0.0,,,0.0,0.0,7.7,1
20220217,1.7,-9.2,,0.0,,,0.0,0.0,9.2,1
20220218,7.9,-12.7,,0.0,,,0.0,0.0,12.7,1
20220219,7.3,-3.2,,0.0,,,0.0,0.0,3.2,1
20220220,2.0,-5.5,,0.0,,,0.0,0.0,5.5,1
20220221,7.3,-8.7,,0.0,,,0.0,0.0,8.7,1
20220222,4.4,-4.1,,0.0,,,0.0,0.0,4.1,1
20220223,3.1,-6.4,,0.0,,,0.0,0.0,6.4,1
20220224,7.4,-11.0,,0.0,,,0.0,0.0,11.0,1
20220225,11.8,-8.6,,0.0,,,0.0,0.0,8.6,1
20220226,14.9,-6.9,,0.0,,,0.0,0.0,6.9,1
20220227,13.2,-4.2,,0.0,,,0.0,0.0,4.2,1
20220228,15.9,-6.9,,0.0,,,0.0,0.0,6.9,1
20220301,16.7,3.4,,0.0,,,5.049999999999999,0.0,0.0,1
20220302,12.7,-4.1,,0.0,,,0.0,0.0,4.1,1
20220303,15.2,-6.0,,0.0,,,0.0,0.0,6.0,1
20220304,16.8,-4.2,,0.0,,,1.3000000000000007,0.0,4.2,1
20220305,11.1,-1.8,,0.0,,,0.0,0.0,1.8,1
20220306,10.4,-5.1,,0.0,,,0.0,0.0,5.1,1
20220307,12.6,-4.8,,0.0,,,0.0,0.0,4.8,1
20220308,16.2,-5.3,,0.0,,,0.4499999999999993,0.0,5.3,1
20220309,18.0,-3.4,,0.0,,,2.3,0.0,3.4,1
20220310,18.6,-0.6,,0.0,,,4.0,0.0,0.6,1
20220311,19.2,-0.4,,0.0,,,4.4,0.0,0.4,1
20220312,23.1,2.8,,0.0,,,7.950000000000001,0.0,0.0,1
20220313,17.5,12.2,,1.0,,,9.85,0.0,0.0,0
20220314,13.5,5.3,,0.0,,,4.4,0.0,0.0,1
20220315,19.8,1.4,,0.0,,,5.6,0.0,0.0,1
20220316,22.7,0.2,,0.0,,,6.449999999999999,0.0,0.0,1
20220317,12.0,5.8,,6.0,,,3.9000000000000004,0.0,0.0,0
20220318,7.8,3.8,,9.0,,,0.7999999999999998,0.0,0.0,0
20220319,7.5,1.5,,5.0,,,0.0,0.0,0.0,0
20220320,10.4,-0.2,,0.0,,,0.10000000000000053,0.0,0.2,1
20220321,13.6,-0.9,,0.0,,,1.3499999999999996,0.0,0.9,1
20220322,13.8,0.6,,0.0,,,2.2,0.0,0.0,1
20220323,11.2,0.2,,0.0,,,0.6999999999999993,0.0,0.0,1
20220324,16.5,-2.5,,0.0,,,2.0,0.0,2.5,1
20220325,19.5,3.2,,2.5,,,6.35,0.0,0.0,0
20220326,19.4,7.8,,17.5,,,8.6,0.0,0.0,0
20220327,19.7,5.4,,0.0,,,7.550000000000001,0.0,0.0,1
20220328,15.3,-1.2,,0.0,,,2.0500000000000007,0.0,1.2,1
20220329,19.4,-1.0,,0.0,,,4.199999999999999,0.0,1.0,1
20220330,22.2,2.2,,0.0,,,7.199999999999999,0.0,0.0,1
20220331,15.4,6.6,,0.0,,,6.0,0.0,0.0,1
20220401,14.1,1.8,,0.5,,,2.95,0.0,0.0,1
20220402,17.4,-1.0,,0.0,,,3.1999999999999993,0.0,1.0,1
20220403,18.9,-0.8,,0.0,,,4.049999999999999,0.0,0.8,1
20220404,20.6,1.2,,0.0,,,5.9,0.0,0.0,1
20220405,21.0,0.6,,0.0,,,5.800000000000001,0.0,0.0,1
20220406,23.2,3.9,,0.0,,,8.549999999999999,0.0,0.0,1
20220407,20.2,5.0,,1.5,,,7.6,0.0,0.0,0
20220408,24.4,2.0,,0.0,,,8.2,0.0,0.0,1
20220409,28.0,5.5,,0.0,,,11.75,0.0,0.0,1
20220410,26.8,6.6,,0.0,,,11.7,0.0,0.0,1
20220411,27.0,10.3,,0.0,,,13.649999999999999,0.0,0.0,1
20220412,29.7,12.6,,0.0,,,16.15,0.0,0.0,1
20220413,19.3,8.7,,1.0,,,9.0,0.0,0.0,0
20220414,13.9,8.4,,0.5,,,6.15,0.0,0.0,1
20220415,20.4,8.2,,0.0,,,9.299999999999999,0.0,0.0,1
20220416,21.7,1.7,,0.0,,,6.699999999999999,0.0,0.0,1
20220417,23.3,1.5,,0.0,,,7.4,0.0,0.0,1
20220418,24.6,7.0,,0.0,,,10.8,0.0,0.0,1
20220419,25.9,4.6,,0.0,,,10.25,0.0,0.0,1
20220420,26.5,3.5,,0.0,,,10.0,0.0,0.0,1
20220421,18.2,6.6,,0.5,,,7.399999999999999,0.0,0.0,1
20220422,28.1,6.2,,0.0,,,12.150000000000002,0.0,0.0,1
20220423,27.0,11.9,,0.0,,,14.45,0.0,0.0,1
20220424,30.2,9.3,,0.0,,,14.75,0.1999999999999993,0.0,1
20220425,28.3,10.9,,3.0,,,14.600000000000001,0.0,0.0,0
20220426,20.5,15.6,,16.5,,,13.05,0.0,0.0,0
20220427,21.4,10.2,,0.0,,,10.799999999999999,0.0,0.0,1
20220428,23.5,8.0,,0.0,,,10.75,0.0,0.0,1
20220429,14.1,9.1,,11.5,,,6.6,0.0,0.0,0
20220430,18.3,9.1,,0.0,,,8.7,0.0,0.0,1
20220501,20.8,6.7,,0.0,,,8.75,0.0,0.0,1
20220502,21.5,3.0,,2.0,,,7.25,0.0,0.0,0
20220503,23.0,4.7,,0.0,,,8.85,0.0,0.0,1
20220504,27.8,5.5,,0.0,,,11.649999999999999,0.0,0.0,1
20220505,28.0,7.4,,0.0,,,12.7,0.0,0.0,1
20220506,28.5,9.0,,0.0,,,13.75,0.0,0.0,1
20220507,25.7,12.0,,0.0,,,13.850000000000001,0.0,0.0,1
20220508,22.9,12.3,,0.0,,,12.600000000000001,0.0,0.0,1
