date,ta_max,ta_min,ta_avg,rn_day,hm_avg,ws_avg
20240101,5.1,-1.7,,0.333333333,,
20240102,6.733333333,-1.966666667,,0,,
20240103,5.433333333,-2.566666667,,0,,
20240104,8.166666667,-3.866666667,,0,,
20240105,9,-1.366666667,,0,,
20240106,5.466666667,-2.966666667,,0,,
20240107,0.2,-6.333333333,,0,,
20240108,3.066666667,-9.4,,0,,
20240109,4.433333333,-4.133333333,,0,,
20240110,3.6,-2.866666667,,0,,
20240111,7.166666667,-4.033333333,,0,,
20240112,7.8,-3.7,,0,,
20240113,2.9,-5.1,,0,,
20240114,9.733333333,-4.7,,0,,
20240115,4.833333333,-4.266666667,,0,,
20240116,6.6,-6.2,,0,,
20240117,9.666666667,-1.333333333,,0,,
20240118,7.4,2.566666667,,0.666666667,,
20240119,3.233333333,0.8,,0.166666667,,
20240120,2.866666667,-0.5,,32.16666667,,
20240121,4,-0.733333333,,0.666666667,,
20240122,1.833333333,-9.666666667,,0.166666667,,
20240123,-6.7,-12.36666667,,0,,
20240124,-4.533333333,-13.13333333,,0,,
20240125,0.266666667,-9.7,,0,,
20240126,3.966666667,-7.666666667,,0,,
20240127,5.333333333,-4.7,,0,,
20240128,4.2,-4.866666667,,0,,
20240129,5.8,-5.333333333,,0,,
20240130,5.733333333,-4.666666667,,0,,
20240131,10.83333333,-1.566666667,,0,,
20240201,4.7,-1.733333333,,5.166666667,,
20240202,2.866666667,-2,,1.666666667,,
20240203,2.633333333,-0.566666667,,0.166666667,,
20240204,3.966666667,-0.4,,0,,
20240205,2.833333333,-2.433333333,,41.83333333,,
20240206,0.9,-2.966666667,,0.333333333,,
20240207,2.633333333,-3.633333333,,0.5,,
20240208,5.2,-4.433333333,,0,,
20240209,5.4,-3.4,,0,,
20240210,4.633333333,-3.533333333,,0,,
20240211,4.866666667,-3.633333333,,0,,
20240212,10.46666667,-4.1,,0,,
20240213,13.56666667,-0.366666667,,0,,
20240214,17.73333333,5.033333333,,0,,
20240215,11.76666667,-1.666666667,,8.333333333,,
20240216,6.066666667,-3.466666667,,0,,
20240217,13.4,-2.8,,0,,
20240218,17.23333333,1.333333333,,1.666666667,,
20240219,14.36666667,5,,10.66666667,,
20240220,5,0.3,,22,,
20240221,1.733333333,-1.033333333,,28.83333333,,
20240222,-0.433333333,-2.433333333,,19.16666667,,
20240223,-1.133333333,-2.933333333,,3.666666667,,
20240224,0.666666667,-3.3,,0.5,,
20240225,3.966666667,-1.633333333,,0.666666667,,
20240226,3.1,-1.566666667,,0.5,,
20240227,2.533333333,-2.466666667,,0,,
20240228,8.133333333,-3.233333333,,0,,
20240229,5.5,-0.633333333,,0,,
20240301,3.5,-6.6,,0,,
20240302,3.2,-7.833333333,,0,,
20240303,7.266666667,-1.633333333,,0,,
20240304,8.633333333,-2.366666667,,0,,
20240305,6.133333333,2.033333333,,2.666666667,,
20240306,2.966666667,0.2,,2.833333333,,
20240307,4.566666667,-1.8,,0.166666667,,
20240308,6.266666667,-2.8,,0,,
20240309,4.033333333,-4.566666667,,0,,
20240310,9.166666667,-4.333333333,,0,,
