stn_id,name,lat,lon,ndvi_mean,SLTP_CD,TPGRP_TPCD,CLZN_CD_x,PRRCK_LARG,SOIL_DRNGE,LOCTN_GRDN,ALTTD_CD,WASH_CD,SLANT_TYP,EIGHT_CD,WIND_EXDGR,WTEFF_DGR,VLDTY_SLDP,KOFTR_CD,AVRG_FRAG,토양형,지형,기후대,모암대,배수,침식,경사형,사면방위,바람노출,풍화정도,수종,산사태등급,산사태위험도,RPRSN_KOFT,KOFTR_LIST,KOFTR_LI_1,CLZN_CD_y,BROAD,label_맞춤,dist_맞춤,FROR_CD,FRTP_CD,AGCLS_CD,DNST_CD,label_임상,dist_임상,label,label_name,추천수종_적지,추천수종_가능
90,속초,38.25085,128.56473,0.3036039215686275,2.0,3.0,2.0,1.0,2.0,4.3,1.0,1.0,2.0,310.0,2.0,2.0,24.0,,0.0,갈색약건,산복,온대중부,화성암,보통,없음,평행사면,남동,보통,중,,,,,,,,,,,,,,,,,1,인공조림,,
92,양양(공),38.05903,128.66298,0.5006267857142858,2.0,5.0,2.0,1.0,2.0,11.4,1.0,1.0,2.0,420.0,2.0,2.0,26.0,,0.0,갈색약건,산록,온대중부,화성암,보통,없음,평행사면,북서,보통,중,,,,,,,,,,,,,,,,,0,자연복원,,
93,북춘천,37.94738,127.75443,0.3496607142857142,2.0,5.0,2.0,1.0,2.0,9.2,2.0,1.0,2.0,320.0,2.0,2.0,26.0,,0.0,갈색약건,산록,온대중부,화성암,보통,없음,평행사면,남서,보통,중,,,,,,,,,,,,,,,,,1,인공조림,,
100,대관령,37.67713,128.71834,0.3220517857142858,2.0,5.0,1.0,3.0,3.0,10.2,8.0,1.0,2.0,420.0,2.0,2.0,22.0,11005.0,13.0,갈색약건,산록,온대북부,변성암,양호,없음,평행사면,북서,보통,중,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
101,춘천,37.90262,127.7357,0.3070535714285715,3.0,5.0,2.0,3.0,3.0,15.4,1.0,1.0,3.0,320.0,2.0,1.0,32.0,,0.0,갈색적윤,산록,온대중부,변성암,양호,없음,하강사면,남서,보통,상,,,,,,,,,,,,,,,,,1,인공조림,,
104,북강릉,37.80456,128.85535,0.513542857142857,5.0,3.0,2.0,1.0,3.0,3.6,1.0,1.0,2.0,310.0,2.0,2.0,28.0,11005.0,11.0,적색계갈색건조,산복,온대중부,화성암,양호,없음,평행사면,남동,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
105,강릉,37.75147,128.89099,0.3413178571428572,6.0,7.0,2.0,1.0,4.0,9.7,1.0,1.0,2.0,410.0,2.0,1.0,28.0,11005.0,17.0,적색계갈색약건,구릉지,온대중부,화성암,매우양호,없음,평행사면,북동,보통,상,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
106,동해,37.50709,129.12433,0.513344642857143,10.0,1.0,3.0,2.0,2.0,6.8,1.0,2.0,2.0,310.0,2.0,1.0,36.0,11005.0,11.0,암적색건조,산정,온대남부,퇴적암,보통,있음,평행사면,남동,보통,상,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
114,원주,37.33749,127.94659,0.2777910714285714,2.0,3.0,2.0,1.0,2.0,13.6,2.0,1.0,2.0,410.0,2.0,2.0,24.0,12017.0,17.0,갈색약건,산복,온대중부,화성암,보통,없음,평행사면,북동,보통,중,상수리나무,,,,,,,,,,,,,,,,1,인공조림,,
121,영월,37.18126,128.45743,0.4608517857142857,11.0,7.0,2.0,2.0,2.0,14.9,3.0,2.0,1.0,410.0,1.0,2.0,18.0,11005.0,14.0,암적색약건,구릉지,온대중부,퇴적암,보통,있음,상승사면,북동,노출,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
