fire_id,landslide_risk,landslide_risk_label
0,-1,데이터없음
1,3,보통
2,-1,데이터없음
3,3,보통
4,3,보통
5,-1,데이터없음
6,-1,데이터없음
7,-1,데이터없음
8,-1,데이터없음
9,4,낮음
10,2,높음
11,3,보통
12,-1,데이터없음
13,-1,데이터없음
14,2,높음
15,-1,데이터없음
16,-1,데이터없음
17,-1,데이터없음
18,2,높음
19,3,보통
20,-1,데이터없음
21,2,높음
22,2,높음
23,1,매우높음
24,4,낮음
25,2,높음
26,4,낮음
27,-1,데이터없음
28,-1,데이터없음
29,2,높음
30,2,높음
31,4,낮음
32,-1,데이터없음
33,1,매우높음
34,-1,데이터없음
35,2,높음
36,4,낮음
37,-1,데이터없음
38,3,보통
39,3,보통
40,4,낮음
41,3,보통
42,-1,데이터없음
43,-1,데이터없음
44,4,낮음
45,-1,데이터없음
46,-1,데이터없음
47,3,보통
48,2,높음
49,-1,데이터없음
50,-1,데이터없음
51,-1,데이터없음
52,-1,데이터없음
53,3,보통
54,3,보통
55,-1,데이터없음
56,-1,데이터없음
57,2,높음
58,3,보통
59,3,보통
60,-1,데이터없음
61,4,낮음
62,3,보통
63,3,보통
64,-1,데이터없음
65,-1,데이터없음
66,-1,데이터없음
67,5,매우낮음
68,-1,데이터없음
69,-1,데이터없음
70,-1,데이터없음
71,3,보통
72,4,낮음
73,-1,데이터없음
74,-1,데이터없음
75,-1,데이터없음
76,-1,데이터없음
77,3,보통
78,-1,데이터없음
79,-1,데이터없음
80,-1,데이터없음
81,3,보통
82,-1,데이터없음
83,-1,데이터없음
84,-1,데이터없음
85,-1,데이터없음
86,3,보통
87,3,보통
88,-1,데이터없음
89,1,매우높음
90,2,높음
91,2,높음
92,-1,데이터없음
93,-1,데이터없음
94,3,보통
95,-1,데이터없음
96,-1,데이터없음
97,-1,데이터없음
98,-1,데이터없음
99,-1,데이터없음
100,4,낮음
101,2,높음
102,3,보통
103,-1,데이터없음
104,2,높음
105,-1,데이터없음
106,-1,데이터없음
107,-1,데이터없음
108,-1,데이터없음
109,-1,데이터없음
110,-1,데이터없음
111,3,보통
112,3,보통
113,4,낮음
114,3,보통
115,4,낮음
116,1,매우높음
117,-1,데이터없음
118,-1,데이터없음
119,-1,데이터없음
120,-1,데이터없음
121,2,높음
122,3,보통
123,-1,데이터없음
124,-1,데이터없음
125,-1,데이터없음
126,-1,데이터없음
127,3,보통
128,-1,데이터없음
129,-1,데이터없음
130,1,매우높음
131,-1,데이터없음
132,-1,데이터없음
133,-1,데이터없음
134,5,매우낮음
135,-1,데이터없음
136,-1,데이터없음
137,-1,데이터없음
138,-1,데이터없음
139,-1,데이터없음
140,4,낮음
141,3,보통
142,-1,데이터없음
143,-1,데이터없음
144,-1,데이터없음
145,-1,데이터없음
146,-1,데이터없음
147,-1,데이터없음
148,2,높음
149,-1,데이터없음
150,-1,데이터없음
151,4,낮음
152,-1,데이터없음
153,-1,데이터없음
154,-1,데이터없음
155,-1,데이터없음
156,2,높음
157,1,매우높음
158,-1,데이터없음
159,1,매우높음
160,1,매우높음
161,-1,데이터없음
162,-1,데이터없음
163,-1,데이터없음
164,-1,데이터없음
165,-1,데이터없음
166,-1,데이터없음
167,-1,데이터없음
168,-1,데이터없음
169,-1,데이터없음
170,5,매우낮음
171,4,낮음
172,5,매우낮음
173,4,낮음
174,2,높음
175,-1,데이터없음
176,1,매우높음
177,5,매우낮음
178,4,낮음
179,4,낮음
180,2,높음
181,-1,데이터없음
182,-1,데이터없음
183,-1,데이터없음
184,2,높음
185,4,낮음
186,-1,데이터없음
187,-1,데이터없음
188,4,낮음
189,-1,데이터없음
190,-1,데이터없음
191,5,매우낮음
192,4,낮음
193,3,보통
194,1,매우높음
195,-1,데이터없음
196,-1,데이터없음
197,-1,데이터없음
198,4,낮음
199,4,낮음
200,-1,데이터없음
201,-1,데이터없음
202,-1,데이터없음
203,-1,데이터없음
204,-1,데이터없음
205,3,보통
206,1,매우높음
207,4,낮음
208,-1,데이터없음
209,2,높음
210,-1,데이터없음
211,-1,데이터없음
212,-1,데이터없음
213,-1,데이터없음
214,4,낮음
215,-1,데이터없음
216,3,보통
217,-1,데이터없음
218,-1,데이터없음
219,-1,데이터없음
220,-1,데이터없음
221,-1,데이터없음
222,3,보통
223,3,보통
224,3,보통
225,1,매우높음
226,4,낮음
227,-1,데이터없음
228,-1,데이터없음
229,3,보통
230,4,낮음
231,2,높음
232,-1,데이터없음
233,3,보통
234,-1,데이터없음
235,3,보통
236,3,보통
237,3,보통
238,3,보통
239,3,보통
240,-1,데이터없음
241,3,보통
242,-1,데이터없음
243,-1,데이터없음
244,4,낮음
245,-1,데이터없음
246,-1,데이터없음
247,1,매우높음
248,-1,데이터없음
249,-1,데이터없음
250,-1,데이터없음
251,-1,데이터없음
252,-1,데이터없음
253,-1,데이터없음
254,3,보통
255,-1,데이터없음
256,-1,데이터없음
257,-1,데이터없음
258,1,매우높음
259,-1,데이터없음
260,-1,데이터없음
261,-1,데이터없음
262,3,보통
263,3,보통
264,2,높음
265,-1,데이터없음
266,-1,데이터없음
267,-1,데이터없음
268,-1,데이터없음
269,-1,데이터없음
270,-1,데이터없음
271,3,보통
272,-1,데이터없음
273,-1,데이터없음
274,4,낮음
275,-1,데이터없음
276,2,높음
277,-1,데이터없음
278,-1,데이터없음
279,1,매우높음
280,-1,데이터없음
281,-1,데이터없음
282,3,보통
283,-1,데이터없음
284,-1,데이터없음
285,-1,데이터없음
286,4,낮음
287,4,낮음
288,-1,데이터없음
289,2,높음
290,-1,데이터없음
291,-1,데이터없음
292,5,매우낮음
293,-1,데이터없음
294,-1,데이터없음
295,-1,데이터없음
296,-1,데이터없음
297,4,낮음
298,2,높음
299,3,보통
300,3,보통
301,2,높음
302,-1,데이터없음
303,2,높음
304,1,매우높음
305,4,낮음
306,2,높음
307,1,매우높음
308,4,낮음
309,-1,데이터없음
310,1,매우높음
311,3,보통
312,-1,데이터없음
313,4,낮음
314,-1,데이터없음
315,3,보통
316,2,높음
317,2,높음
318,-1,데이터없음
319,-1,데이터없음
320,2,높음
321,-1,데이터없음
322,-1,데이터없음
323,1,매우높음
324,1,매우높음
