system:index,area_ha,dNBR,fire_class,fire_date_str,fire_year,nbr_post,nbr_post2,nbr_post3,nbr_pre,sensor,severity,.geo
0000000000000000025b,160.41,-0.05001518963189902,대형,2017-03-09,2017,0.25208803299590005,0.16044471196096594,0.19680883831147178,0.20207284336400103,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.99307593362977,37.597985175482805]}"
000000000000000002fa,765.12,0.029794539893413796,대형,2017-05-06,2017,0.28110182064756856,0.14338472958976364,0.07567006793202692,0.31089636054098235,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[129.01418531801679,37.25417064785791]}"
000000000000000002fe,252.0,-0.04374541319207814,대형,2017-05-06,2017,0.367901497747465,0.22707121522697774,0.2479970119477428,0.32415608455538686,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.80429989053215,37.72251449060238]}"
0000000000000000034b,161.14,0.2013781865462661,대형,2018-02-11,2018,0.3164646397948096,0.2500152786806481,0.3225414659704075,0.5178428263410757,Sentinel-2,low,"{""type"":""Point"",""coordinates"":[129.1937310219338,37.27477615382588]}"
00000000000000000368,356.85,0.00947854383682245,대형,2018-03-28,2018,0.3990126609098909,0.38425897448497354,0.3958714293522678,0.40849120474671335,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.46800786638443,38.35745480780465]}"
00000000000000000426,345.0,-0.06481601029433282,대형,2019-04-04,2019,0.3228137329680993,0.45007182380672967,0.206022039430335,0.25799772267376647,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.1349709860057,37.986622586896935]}"
00000000000000000539,123.2,0.06102194996744001,대형,2020-05-01,2020,0.16791229893856907,0.14413111955260985,0.13023003566996302,0.22893424890600908,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.47597627996691,38.26969523997178]}"
00000000000000000427,1227.0,0.008737650358363214,메가파이어,2019-04-04,2019,0.10893368820673996,0.15357993935075487,0.14886340426848554,0.11767133856510317,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[128.50278885460128,38.20570713985484]}"
00000000000000000429,1260.0,0.01305490100234899,메가파이어,2019-04-04,2019,0.22872558944570973,0.2705970736700347,0.23693603586664538,0.24178049044805872,Sentinel-2,unburned,"{""type"":""Point"",""coordinates"":[129.01081423762037,37.569219514587026]}"
00000000000000000195,4.0,0.0,소규모,2011-04-13,2011,-9999.0,0.2358792504323227,0.18108844176193473,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.6254676427837,38.03518665647001]}"
00000000000000000284,3.5,0.0,소규모,2011-01-31,2011,-9999.0,0.1404681187524323,0.13193869742909228,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.59936406521683,38.11211506784406]}"
00000000000000000022,0.01,0.0,소규모,2011-03-16,2011,-9999.0,0.019851876170564033,0.08635233413119688,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.64014900120587,37.01726306798938]}"
000000000000000001ce,0.01,0.0,소규모,2011-04-17,2011,-9999.0,0.04689894463622206,0.14790109379231467,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.65279947089451,37.0420601289476]}"
0000000000000000024a,0.01,0.0,소규모,2011-06-20,2011,-9999.0,0.12578727577883006,0.12154196189312556,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.42950552654214,37.39357552409178]}"
00000000000000000153,0.03,0.0,소규모,2011-04-09,2011,-9999.0,0.12687107096166397,0.15392443756718774,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.03742369136052,38.07468537360144]}"
0000000000000000014c,0.04,0.0,소규모,2011-04-09,2011,-9999.0,0.1194332916415304,0.11911632888354923,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.03440487994735,38.19257062815139]}"
0000000000000000033e,0.07,0.0,소규모,2011-02-01,2011,-9999.0,0.075544109781954,0.10650337969505505,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.20529100961855,37.03020783834754]}"
00000000000000000001,0.1,0.0,소규모,2011-03-14,2011,-9999.0,0.03426707817480282,0.11919956125632092,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.5200277392739,37.150817603641144]}"
00000000000000000130,0.1,0.0,소규모,2011-04-05,2011,-9999.0,0.14447518065814202,0.1391752084465864,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.52091263903671,37.72793229838232]}"
00000000000000000131,0.1,0.0,소규모,2011-04-16,2011,-9999.0,0.14235600553910327,0.1435210854340755,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.6656996502421,37.81886228706419]}"
00000000000000000139,0.1,0.0,소규모,2011-04-10,2011,-9999.0,0.24791169298284257,0.18110311385828137,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.67080532094829,38.08262703257762]}"
00000000000000000147,0.1,0.0,소규모,2011-04-06,2011,-9999.0,0.30017527569245683,0.15450412412405892,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.83046589551375,37.65706380533991]}"
