fire_id,SLTP_CD,TPGRP_TPCD,CLZN_CD,SOIL_DRNGE,ALTTD_CD,WIND_EXDGR,WTEFF_DGR,AVRG_FRAG,drainage_score,weathering_score,frag_score,wind_score,altitude_code,soil_type_code,climate_zone,dist_imsndo
0,03,05,2,2,02,3,02,8,4.0,3.0,8,3.0,2,3,2.0,39205.11402906525
1,11,03,2,2,06,2,02,15,4.0,3.0,15,2.0,6,11,2.0,0.0
2,01,01,1,3,06,1,03,12,3.0,2.0,12,1.0,6,1,1.0,862.2054669114548
3,02,03,2,3,03,2,01,0,3.0,4.0,0,2.0,3,2,2.0,0.0
4,01,01,2,3,05,1,02,0,3.0,3.0,0,1.0,5,1,2.0,0.0
5,03,03,2,3,04,2,01,0,3.0,4.0,0,2.0,4,3,2.0,28.534776501441293
6,03,05,2,2,04,3,02,16,4.0,3.0,16,3.0,4,3,2.0,5001.377462652871
7,01,01,1,3,06,1,03,14,3.0,2.0,14,1.0,6,1,1.0,38884.03254221229
8,01,01,2,3,06,1,03,10,3.0,2.0,10,1.0,6,1,2.0,877.8697447951213
9,11,03,2,2,05,2,02,14,4.0,3.0,14,2.0,5,11,2.0,0.0
10,02,05,2,2,02,2,02,20,4.0,3.0,20,2.0,2,2,2.0,0.0
11,03,03,1,3,04,2,01,13,3.0,4.0,13,2.0,4,3,1.0,0.0
12,03,05,2,2,02,3,02,8,4.0,3.0,8,3.0,2,3,2.0,10672.816004433358
13,82,01,,,07,,,0,3.0,2.0,0,2.0,7,82,2.0,11325.362082952106
14,02,05,2,3,04,3,02,0,3.0,3.0,0,3.0,4,2,2.0,0.0
15,03,05,2,2,02,3,02,8,4.0,3.0,8,3.0,2,3,2.0,27355.4632155178
16,82,01,,,07,,,0,3.0,2.0,0,2.0,7,82,2.0,6435.220201268876
17,03,05,2,2,02,3,02,8,4.0,3.0,8,3.0,2,3,2.0,11276.824350089435
18,02,03,2,2,04,2,02,0,4.0,3.0,0,2.0,4,2,2.0,0.0
19,02,03,2,3,04,2,02,0,3.0,3.0,0,2.0,4,2,2.0,0.0
20,01,01,1,3,06,1,03,14,3.0,2.0,14,1.0,6,1,1.0,48926.23766366364
21,01,01,1,4,05,1,03,11,2.0,2.0,11,1.0,5,1,1.0,0.0
22,01,01,2,4,05,1,02,0,2.0,3.0,0,1.0,5,1,2.0,0.0
23,02,03,2,2,06,2,02,13,4.0,3.0,13,2.0,6,2,2.0,0.0
24,02,03,2,4,02,2,01,10,2.0,4.0,10,2.0,2,2,2.0,0.0
25,01,01,2,4,03,1,03,12,2.0,2.0,12,1.0,3,1,2.0,0.0
26,02,03,1,2,05,2,02,13,4.0,3.0,13,2.0,5,2,1.0,0.0
27,01,01,3,3,01,1,02,13,3.0,3.0,13,1.0,1,1,3.0,4.7957985823046965
28,01,01,1,3,06,1,03,12,3.0,2.0,12,1.0,6,1,1.0,24005.543602652677
29,01,03,2,3,01,1,02,13,3.0,3.0,13,1.0,1,1,2.0,0.0
30,02,03,1,3,08,2,02,18,3.0,3.0,18,2.0,8,2,1.0,0.0
31,10,01,2,3,06,1,03,8,3.0,2.0,8,1.0,6,10,2.0,0.0
32,02,03,2,2,02,2,02,9,4.0,3.0,9,2.0,2,2,2.0,1287.3671028384715
33,01,01,2,3,06,1,02,11,3.0,3.0,11,1.0,6,1,2.0,0.0
34,01,01,2,3,02,1,03,12,3.0,2.0,12,1.0,2,1,2.0,19458.03006939642
35,02,03,2,3,03,2,01,0,3.0,4.0,0,2.0,3,2,2.0,0.0
36,02,03,2,3,03,1,02,15,3.0,3.0,15,1.0,3,2,2.0,0.0
37,02,03,2,2,03,2,02,15,4.0,3.0,15,2.0,3,2,2.0,0.0
38,02,05,2,2,04,2,02,0,4.0,3.0,0,2.0,4,2,2.0,0.0
39,11,03,2,2,06,2,02,15,4.0,3.0,15,2.0,6,11,2.0,0.0
40,02,03,2,2,06,2,02,14,4.0,3.0,14,2.0,6,2,2.0,0.0
41,10,01,2,3,05,1,03,13,3.0,2.0,13,1.0,5,10,2.0,0.0
42,01,03,2,3,02,2,02,0,3.0,3.0,0,2.0,2,1,2.0,19262.753589601256
43,02,07,2,3,01,1,02,0,3.0,3.0,0,1.0,1,2,2.0,9.131514751345604
44,03,05,1,2,04,3,02,13,4.0,3.0,13,3.0,4,3,1.0,0.0
45,03,05,2,2,02,2,02,16,4.0,3.0,16,2.0,2,3,2.0,1059.7885767966095
46,01,01,1,3,02,1,03,9,3.0,2.0,9,1.0,2,1,1.0,0.0
47,04,03,1,3,09,2,02,19,3.0,3.0,19,2.0,9,4,1.0,0.0
48,03,03,2,3,03,2,01,20,3.0,4.0,20,2.0,3,3,2.0,0.0
49,01,01,1,3,06,1,03,14,3.0,2.0,14,1.0,6,1,1.0,12787.413691048285
50,01,01,2,2,07,1,03,14,4.0,2.0,14,1.0,7,1,2.0,11604.610719316035
51,03,05,2,2,02,3,02,8,4.0,3.0,8,3.0,2,3,2.0,38409.55769636103
52,01,01,2,4,09,1,02,0,2.0,3.0,0,1.0,9,1,2.0,4743.257546090178
53,10,01,3,2,02,2,02,14,4.0,3.0,14,2.0,2,10,3.0,0.0
54,01,01,2,4,03,1,03,0,2.0,2.0,0,1.0,3,1,2.0,0.0
55,82,01,,,07,,,0,3.0,2.0,0,2.0,7,82,2.0,15718.499120145289
56,93,,,,01,,,0,3.0,2.0,0,2.0,1,93,2.0,0.0
57,01,01,2,3,02,1,02,11,3.0,3.0,11,1.0,2,1,2.0,0.0
58,10,01,2,2,07,2,02,11,4.0,3.0,11,2.0,7,10,2.0,0.0
59,02,03,2,3,03,2,02,12,3.0,3.0,12,2.0,3,2,2.0,0.0
60,01,01,2,3,08,1,03,15,3.0,2.0,15,1.0,8,1,2.0,5013.655387089542
61,01,01,2,4,05,1,02,0,2.0,3.0,0,1.0,5,1,2.0,0.0
62,03,05,1,2,06,3,01,16,4.0,4.0,16,3.0,6,3,1.0,194.54630629846713
63,02,03,1,3,07,2,01,16,3.0,4.0,16,2.0,7,2,1.0,0.0
64,01,01,1,3,06,1,03,14,3.0,2.0,14,1.0,6,1,1.0,36422.69375132991
65,01,01,1,3,06,1,03,12,3.0,2.0,12,1.0,6,1,1.0,7973.3035056457475
66,03,03,2,3,02,2,01,13,3.0,4.0,13,2.0,2,3,2.0,4.56209331982807
67,02,05,2,2,03,1,01,18,4.0,4.0,18,1.0,3,2,2.0,0.0
68,01,01,1,3,06,1,03,14,3.0,2.0,14,1.0,6,1,1.0,23352.260964204954
69,01,01,2,4,04,1,03,15,2.0,2.0,15,1.0,4,1,2.0,17808.93433406305
70,01,01,2,4,04,1,03,15,2.0,2.0,15,1.0,4,1,2.0,17808.93433406305
